Ensembl Gene Record	A778_D0_gene	A820_D0_gene	A870_D0_gene	A899_D0_gene
ENSG00000009724.16	20	22	23	4
ENSG00000009780.15	189	216	195	349
ENSG00000009790.14	7	14	14	11
ENSG00000009830.11	343	598	684	1420
ENSG00000009844.15	934	561	514	1348
ENSG00000009950.15	290	169	128	1479
ENSG00000009954.10	2283	1968	2866	3013
ENSG00000010017.12	1001	606	872	983
ENSG00000010030.13	15	1	7	63
ENSG00000010072.15	268	130	295	355
ENSG00000010165.19	860	1302	659	868
ENSG00000010219.13	58	257	47	300
ENSG00000010244.18	3731	2095	2477	5947
ENSG00000010256.10	1043	3302	2684	2180
ENSG00000010270.13	660	673	394	780
ENSG00000010278.13	7057	6690	8174	12596
ENSG00000010282.14	1	3	0	3
ENSG00000010292.12	1400	2236	761	3564
ENSG00000010295.19	25	15	15	36
ENSG00000010310.8	46	30	30	28
ENSG00000010318.20	20	91	27	57
ENSG00000010319.6	32	20	6	25
ENSG00000010322.15	1319	2750	1485	2125
ENSG00000010327.10	652	433	513	841
ENSG00000010361.13	517	132	167	518
ENSG00000010379.15	15	4	17	92
ENSG00000010404.17	1114	2447	2702	2099
ENSG00000010539.11	132	133	98	277
ENSG00000010610.9	221	127	109	218
ENSG00000010626.14	196	195	86	222
ENSG00000010671.15	37	13	15	28
ENSG00000010704.18	39	12	277	265
ENSG00000010803.16	220	534	396	963
ENSG00000010810.17	733	49	654	1411
ENSG00000010818.9	2377	593	517	1433
ENSG00000011007.12	864	886	928	987
ENSG00000011009.10	1309	1540	1504	2853
ENSG00000011021.22	518	826	521	958
ENSG00000011028.13	226	1559	1158	1306
ENSG00000011052.21	11	30	10	38
ENSG00000011105.13	824	738	510	1742
ENSG00000011114.14	809	667	762	950
ENSG00000011132.11	145	87	172	316
ENSG00000011143.16	336	363	232	354
ENSG00000011198.9	179	307	289	466
ENSG00000011201.11	195	63	87	245
ENSG00000011243.17	1681	1149	3057	5552
ENSG00000011258.15	1272	953	551	843
ENSG00000011260.13	501	888	385	766
ENSG00000011275.18	1081	395	536	1816
ENSG00000011295.15	816	852	495	1023
ENSG00000011304.19	3275	3709	4262	6835
ENSG00000011332.19	33	6	38	31
ENSG00000011347.9	809	409	75	293
ENSG00000011376.10	200	559	303	486
ENSG00000011405.13	1858	1717	766	2278
ENSG00000011422.11	882	130	438	696
ENSG00000011426.10	656	1145	465	1595
ENSG00000011451.19	761	1165	1013	2482
ENSG00000011454.16	1315	1160	506	995
ENSG00000011465.16	95	6	37	40
ENSG00000011478.11	152	94	138	262
ENSG00000011485.14	1093	948	1079	1251
ENSG00000011523.13	614	572	262	714
ENSG00000011566.14	1532	596	539	1077
ENSG00000011600.11	236	103	195	153
ENSG00000011638.10	257	107	115	175
ENSG00000011677.12	2	117	32	53
ENSG00000012048.21	190	734	81	454
ENSG00000012061.15	551	409	641	830
ENSG00000012124.16	525	302	84	1234
ENSG00000012171.19	1308	3334	3785	4224
ENSG00000012174.11	212	615	186	337
ENSG00000012211.12	188	440	158	418
ENSG00000012223.12	5	25	11	10
ENSG00000012232.8	1290	1323	314	1052
ENSG00000012660.13	1324	3130	1057	1340
ENSG00000012779.10	344	451	169	941
ENSG00000012822.15	1731	1343	1802	3219
ENSG00000012963.14	306	429	457	441
