Ensembl Gene Record	Common Gene Name	Read Count	Log Count
ENSG00000126749.15	EMG1	554	6.317164686747284
ENSG00000126756.11	UXT	561	6.329720905522696
ENSG00000126759.13	CFP	20	2.995732273553991
ENSG00000126767.17	ELK1	794	6.677083461247136
ENSG00000126768.12	TIMM17B	1047	6.953684210870537
ENSG00000126773.12	PCNX4	720	6.579251212010101
ENSG00000126775.8	ATG14	585	6.371611847231857
ENSG00000126777.17	KTN1	3670	8.207946941048617
ENSG00000126778.9	SIX1	218	5.384495062789089
ENSG00000126787.12	DLGAP5	449	6.1070228877422545
ENSG00000126790.11	L3HYPDH	290	5.66988092298052
ENSG00000126803.9	HSPA2	6	1.791759469228055
ENSG00000126804.13	ZBTB1	627	6.440946540632921
ENSG00000126814.6	TRMT5	375	5.926926025970411
ENSG00000126821.7	SGPP1	27	3.295836866004329
ENSG00000126822.16	PLEKHG3	1074	6.97914527506881
ENSG00000126858.17	RHOT1	346	5.846438775057725
ENSG00000126860.11	EVI2A	13	2.5649493574615367
ENSG00000126870.15	WDR60	314	5.749392985908253
ENSG00000126878.12	AIF1L	3841	8.253488028345904
ENSG00000126882.12	FAM78A	16	2.772588722239781
ENSG00000126883.16	NUP214	1431	7.266128779556451
ENSG00000126895.14	AVPR2	6	1.791759469228055
ENSG00000126903.15	SLC10A3	627	6.440946540632921
ENSG00000126934.13	MAP2K2	901	6.803505257608338
ENSG00000126945.8	HNRNPH2	1368	7.221105098182496
ENSG00000126947.12	ARMCX1	50	3.912023005428146
ENSG00000126953.6	TIMM8A	195	5.272999558563747
ENSG00000127022.14	CANX	12896	9.464672464746409
ENSG00000127054.20	INTS11	1916	7.557994958530806
ENSG00000127080.9	IPPK	306	5.723585101952381
ENSG00000127081.13	ZNF484	32	3.4657359027997265
ENSG00000127084.18	FGD3	98	4.584967478670572
ENSG00000127124.15	HIVEP3	54	3.9889840465642745
ENSG00000127125.8	PPCS	854	6.74993119378857
ENSG00000127129.9	EDN2	92	4.5217885770490405
ENSG00000127184.12	COX7C	5041	8.525359754082631
ENSG00000127191.17	TRAF2	653	6.481577129276431
ENSG00000127220.5	ABHD8	124	4.820281565605037
ENSG00000127241.16	MASP1	1	0.0
ENSG00000127249.14	ATP13A4	24	3.1780538303479458
ENSG00000127252.5	HRASLS	48	3.871201010907891
ENSG00000127311.9	HELB	370	5.91350300563827
ENSG00000127314.17	RAP1B	1386	7.234177179749849
ENSG00000127328.21	RAB3IP	656	6.486160788944089
ENSG00000127329.15	PTPRB	1380	7.22983877815125
ENSG00000127334.10	DYRK2	1190	7.081708586105575
ENSG00000127337.6	YEATS4	249	5.517452896464707
ENSG00000127364.3	TAS2R4	20	2.995732273553991
ENSG00000127366.5	TAS2R5	19	2.9444389791664403
ENSG00000127399.14	LRRC61	24	3.1780538303479458
ENSG00000127415.12	IDUA	325	5.783825182329737
ENSG00000127418.14	FGFRL1	616	6.423246963533519
ENSG00000127419.16	TMEM175	217	5.37989735354046
ENSG00000127423.10	AUNIP	96	4.564348191467836
ENSG00000127445.13	PIN1	2332	7.754481547470383
ENSG00000127452.8	FBXL12	465	6.142037405587356
ENSG00000127463.14	EMC1	1617	7.388327859577107
ENSG00000127481.14	UBR4	6176	8.728426091704613
ENSG00000127483.17	HP1BP3	4278	8.361240889642351
ENSG00000127507.17	ADGRE2	21	3.044522437723423
ENSG00000127511.9	SIN3B	3104	8.04044688130311
